                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89927,                 2.5703,                 1.3559,                0.00333,                      1,                0.40797,                0.18187,                  0.434,                 2.9221,                 1.1027,                  2e-05,                  2e-05,                  2e-05
                      2,                0.90587,                 2.7438,                 1.5082,                0.00333,                      1,                0.78581,                0.51575,                 0.4981,                 2.9048,                 1.0853,             5.9985e-05,             5.9985e-05,             5.9985e-05
                      3,                0.56516,                 2.4085,                0.99963,                0.00333,                      1,                0.91929,                0.69846,                0.72961,                 2.8904,                 1.2017,             9.9902e-05,             9.9902e-05,             9.9902e-05
                      4,                0.64854,                 2.1776,                 1.1788,                0.00333,                      1,                  0.984,                0.73461,                0.82239,                 2.8396,                 1.4743,             0.00013969,             0.00013969,             0.00013969
                      5,                0.48808,                 1.6756,                0.99712,                0.00333,                      1,                  0.995,                0.75404,                  0.715,                 2.6502,                 1.5178,              0.0001793,              0.0001793,              0.0001793
                      6,                0.64793,                 1.6714,                 1.1326,                  0.969,                      1,                  0.995,                0.65789,                0.72789,                 2.5197,                 1.5626,             0.00021866,             0.00021866,             0.00021866
                      7,                0.49053,                 1.2141,                0.97289,                0.98874,                      1,                  0.995,                0.67731,                0.78507,                 2.4951,                  1.559,             0.00025772,             0.00025772,             0.00025772
                      8,                0.46269,                0.98184,                0.94825,                0.92131,                      1,                  0.995,                0.80158,                0.72127,                  2.559,                  1.403,             0.00029642,             0.00029642,             0.00029642
                      9,                0.57845,                 1.0132,                 1.0951,                0.35482,                      1,                  0.995,                0.83305,                 0.6203,                 2.5682,                 1.2234,             0.00033471,             0.00033471,             0.00033471
                     10,                0.43969,                0.87887,                0.88785,                0.00333,                      1,                  0.995,                0.89485,                0.50046,                 2.5876,                 1.1185,             0.00037253,             0.00037253,             0.00037253
